Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:56:49 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1958-0039-FRA,1958,0039,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Gard, Hérault",,,,,No,No,,,Km2,,,,,1958,9,30,1958,10,4,35,,,,,,,,,,,9.860877819,,,,
1961-0058-FRA,1961,0058,,Natural,Hydrological,Landslide,,,,France,FRA,Western Europe,Europe,Clamart (Hauts-de-Seine),,,,,No,No,,,,,,,,1961,6,1,1961,6,1,21,,,,,,,,,,,10.21396373,2,,16279,Hauts-de-Seine (Adm2).
1967-0041-FRA,1967,0041,,Natural,Meteorological,Storm,Convective storm,Tornado,,France,FRA,Western Europe,Europe,North,,,,,No,No,,,Kph,,,,,1967,6,25,1967,6,25,5,,,,,,,,,20000,175461,11.39852698,,,,
1967-0131-FRA,1967,0131,,Natural,Geophysical,Earthquake,Ground movement,,,France,FRA,Western Europe,Europe,"Arette, Lanne, Montory, Aramits, Haux, Sunhar (Pyrénées-Atlantiques)",,,,,,,,5,Richter,43.2,-0.5,23:07,,1967,8,13,1967,8,13,1,80,,1020,1100,,,,,,,11.39852698,,,,
1969-0074-FRA,1969,0074,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Brittany, Normandy",,,,,,,,,Kph,,,,,1969,7,6,1969,7,6,23,,,,,,,,,,,12.53467526,,,,
1970-0016-FRA,1970,0016,,Natural,Hydrological,Landslide,Avalanche,,,France,FRA,Western Europe,Europe,Val d'Isere,,,,,,,,,,,,,,1970,2,10,1970,2,10,42,37,,,37,,,,,,,13.26647996,,,,
1970-0027-FRA,1970,0027,,Natural,Hydrological,Landslide,Avalanche,,,France,FRA,Western Europe,Europe,"Plateau d'Assy, St Gervais (Haute-savoie), sanatorium Praz-coutant",,,,,No,No,,,,,,,,1970,4,16,1970,4,16,72,,,,,,,,,,,13.26647996,2,,16329,Haute-Savoie (Adm2).
1976-0178-FRA,1976,0178,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1976,1,,1976,1,,,,,,,,,,,,,19.44554409,,,,
1977-0084-FRA,1977,0084,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,Gers (South West),Heavy rains,,,,No,No,,,Km2,,,,Lannemazan,1977,7,8,1977,7,8,26,,25000,,25000,,,,,,,20.7098325,,,,
1978-0010-FRA,1978,0010,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Marseilles,,,,,,,,,Km2,,,,,1978,1,,1978,1,,3,,1000,,1000,,,,,,,22.29019504,,,,
1979-0259-FRA,1979,0259,,Natural,Geophysical,Earthquake,Tsunami,,,France,FRA,Western Europe,Europe,Cote d'Azur,Landslide,,,,No,No,,,Richter,43.70 N,7.25 E,,,1979,10,16,1979,10,16,11,2,,,2,,,,,,,24.79884057,,,,
1980-0237-FRA,1980,0237,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,Central Region,,,,,,,,,Km2,,,,,1980,9,21,1980,9,21,6,13,300,,313,,,,,,,28.15888663,,,,
